facts,length
Foods that should not be given to cats include onions  garlic  green tomatoes  raw potatoes  chocolate  grapes  and raisins. Though milk is not toxic  it can cause an upset stomach and gas. Tylenol and aspirin are extremely toxic to cats  as are many common houseplants. Feeding cats dog food or canned tuna that’s for human consumption can cause malnutrition.,360
In 1888  more than 300 000 mummified cats were found an Egyptian cemetery. They were stripped of their wrappings and carted off to be used by farmers in England and the U.S. for fertilizer.,189
While many cats enjoy milk  it will give some cats diarrhea.,60
Statistics indicate that animal lovers in recent years have shown a preference for cats over dogs!,98
A female cat will be pregnant for approximately 9 weeks or between 62 and 65 days from conception to delivery.,110
Tabby cats are thought to get their name from Attab  a district in Baghdad  now the capital of Iraq.,100
Cats that live together sometimes rub each others heads to show that they have no intention of fighting. Young cats do this more often  especially when they are excited.,169
The Cat Fanciers Association (CFA) recognizes 44 breeds of cats.,64
A female cat is called a queen or a molly.,42
Some notable people who disliked cats:  Napoleon Bonaparte  Dwight D. Eisenhower  Hitler.,89
Like humans  cats tend to favor one paw over another,52
Some Siamese cats appear cross-eyed because the nerves from the left side of the brain go to mostly the right eye and the nerves from the right side of the brain go mostly to the left eye. This causes some double vision  which the cat tries to correct by “crossing” its eyes.,275
An adult lion's roar can be heard up to five miles (eight kilometers) away.,75
